Date,Department,Traffic_Type,Protocol,Traffic_GB,Session_Count,Response_Time_MS
2026-04-26,마케팅팀,Outbound,HTTPS,44.73,1743,30.7
2026-04-27,경영지원팀,Inbound,HTTPS,50.28,1412,46.3
2026-04-28,개발팀,Inbound,API Call,75.15,1031,38.2
2026-04-29,마케팅팀,Inbound,DB Query,54.9,1389,53.4
2026-04-30,영업팀,Inbound,HTTPS,46.71,1491,38.5
2026-05-01,경영지원팀,Inbound,SFTP,62.44,1386,40.5
2026-05-02,마케팅팀,Outbound,HTTPS,,728,26.1
2026-05-03,영업팀,Outbound,DB Query,53.53,981,40.5
2026-05-04,개발팀,Inbound,API Call,61.56,1125,20.8
2026-05-05,개발팀,Outbound,API Call,27.82,1177,29.2
2026-05-06,영업팀,Outbound,HTTPS,67.16,1386,52.6
2026-05-07,,Inbound,HTTPS,55.08,1253,52.9
2026-05-08,마케팅팀,Outbound,HTTPS,43.77,799,49.3
2026-05-09,개발팀,Inbound,HTTPS,59.49,1314,35.3
2026-05-10,영업팀,Inbound,API Call,84.06,1383,44.5
2026-05-11,영업팀,Inbound,API Call,52.73,1367,45.0
2026-05-12,개발팀,Outbound,DB Query,53.72,1524,33.4
2026-05-13,개발팀,Inbound,DB Query,43.11,1450,60.0
2026-05-14,영업팀,Inbound,SFTP,37.25,1337,53.8
2026-05-15,마케팅팀,Inbound,API Call,62.46,1178,42.8
2026-05-16,영업팀,Inbound,DB Query,37.16,701,45.3
2026-05-17,영업팀,Outbound,API Call,51.07,1328,47.1
2026-05-18,경영지원팀,Outbound,HTTPS,42.84,1262,24.6
2026-05-19,영업팀,Inbound,HTTPS,57.18,1281,42.5
2026-05-20,,Inbound,HTTPS,55.0,816,38.2
2026-05-21,마케팅팀,Inbound,DB Query,65.56,875,35.0
2026-05-22,개발팀,Inbound,SFTP,42.35,1515,42.2
2026-05-23,영업팀,Inbound,HTTPS,390.0,150,63.0
2026-05-24,영업팀,Inbound,SFTP,35.32,1404,51.4
2026-05-25,개발팀,Inbound,SFTP,43.34,1208,39.3
2026-05-26,개발팀,Outbound,HTTPS,55.66,1208,50.7
2026-05-27,디자인팀,Outbound,HTTPS,61.35,1481,59.0
2026-05-28,영업팀,Inbound,SFTP,36.17,1045,54.2
2026-05-29,개발팀,Inbound,SFTP,63.04,1228,45.6
2026-05-30,개발팀,Outbound,API Call,,1061,38.5
2026-05-31,마케팅팀,Inbound,SFTP,56.2,1069,52.0
2026-06-01,개발팀,Outbound,API Call,78.15,1107,48.9
2026-06-02,개발팀,Outbound,SFTP,38.39,1266,54.0
2026-06-03,영업팀,Inbound,SFTP,31.33,1056,51.4
2026-06-04,마케팅팀,Inbound,API Call,23.32,1576,55.5
2026-06-05,개발팀,Outbound,HTTPS,72.44,931,39.6
2026-06-06,디자인팀,Inbound,HTTPS,59.82,1143,58.2
2026-06-07,경영지원팀,Inbound,HTTPS,49.17,1068,47.0
2026-06-08,개발팀,Outbound,API Call,54.2,1634,65.8
2026-06-09,경영지원팀,Inbound,SFTP,33.12,1258,38.1
2026-06-10,영업팀,Inbound,API Call,86.69,1509,62.4
2026-06-11,디자인팀,Outbound,HTTPS,51.94,754,47.0
2026-06-12,디자인팀,Inbound,HTTPS,51.64,1280,38.5
2026-06-13,영업팀,Inbound,HTTPS,60.89,1466,40.2
2026-06-14,개발팀,Outbound,HTTPS,57.22,1224,41.8
2026-06-15,경영지원팀,Inbound,SFTP,53.36,1519,49.2
2026-06-16,영업팀,Outbound,HTTPS,38.14,1044,50.2
2026-06-17,개발팀,Outbound,HTTPS,57.07,1622,39.3
2026-06-18,개발팀,Inbound,DB Query,78.23,1889,44.8
2026-06-19,디자인팀,Inbound,HTTPS,70.18,1091,66.4
2026-06-20,디자인팀,Inbound,SFTP,73.9,1066,62.3
2026-06-21,개발팀,Inbound,API Call,42.33,1636,49.4
2026-06-22,영업팀,Inbound,HTTPS,35.16,1673,45.4
2026-06-23,개발팀,Outbound,SFTP,48.11,1043,46.2
2026-06-24,디자인팀,Inbound,API Call,50.84,1073,51.1
2026-06-25,개발팀,Inbound,DB Query,66.41,1115,34.8
2026-06-26,디자인팀,Outbound,HTTPS,24.61,796,42.4
2026-06-27,영업팀,Inbound,DB Query,72.94,924,28.3
2026-06-28,마케팅팀,Outbound,HTTPS,47.63,898,49.0
2026-06-29,개발팀,Inbound,HTTPS,,969,51.5
2026-06-30,영업팀,Inbound,HTTPS,34.82,1189,40.2
2026-07-01,개발팀,Outbound,DB Query,25.18,1270,60.7
2026-07-02,마케팅팀,Outbound,HTTPS,62.35,1665,32.7
2026-07-03,마케팅팀,Outbound,HTTPS,51.1,900,30.4
2026-07-04,개발팀,Outbound,SFTP,30.65,1495,47.2
2026-07-05,디자인팀,Outbound,HTTPS,30.57,1135,55.5
2026-07-06,경영지원팀,Inbound,HTTPS,44.96,1185,61.8
2026-07-07,디자인팀,Inbound,HTTPS,,1402,40.4
2026-07-08,영업팀,Outbound,HTTPS,46.11,863,55.8
2026-07-09,개발팀,Outbound,HTTPS,27.45,1314,44.6
2026-07-10,개발팀,Outbound,HTTPS,46.31,1249,43.3
2026-07-11,마케팅팀,Inbound,SFTP,45.91,1347,53.8
2026-07-12,마케팅팀,Inbound,HTTPS,9.55,1286,51.5
2026-07-13,디자인팀,Outbound,HTTPS,49.19,1936,29.2
2026-07-14,영업팀,Inbound,API Call,46.54,1008,59.8
2026-07-15,영업팀,Outbound,HTTPS,60.44,1040,58.8
2026-07-16,경영지원팀,Outbound,SFTP,77.73,1013,38.7
2026-07-17,마케팅팀,Inbound,HTTPS,66.9,1033,49.0
2026-07-18,마케팅팀,Outbound,HTTPS,,1008,49.9
2026-07-19,,Outbound,HTTPS,,1556,47.6
