order_date,category,brand,sales_amount,quantity,review_count,review_score
2024-06-08,바지,쿠어,47974.0,7,56,4.5
2024-06-09,상의,디스이즈네버댓,27776.0,7,47,4.0
2024-06-10,바지,라퍼지스토어,77236.0,1,50,4.5
2024-06-11,바지,커버낫,65359.0,7,38,4.5
2024-06-12,상의,코드그라피,46146.0,5,66,4.5
2024-06-13,아우터,커버낫,166988.0,3,53,3.5
2024-06-14,바지,코드그라피,61899.0,3,40,5.0
2024-06-15,상의,쿠어,40877.0,4,44,4.5
2024-06-16,아우터,코드그라피,157464.0,2,42,4.0
2024-06-17,아우터,라퍼지스토어,166251.0,2,37,4.0
2024-06-18,상의,디스이즈네버댓,41278.0,1,65,4.5
2024-06-19,바지,코드그라피,54228.0,5,48,5.0
2024-06-20,아우터,코드그라피,160373.0,4,51,4.5
2024-06-21,상의,디스이즈네버댓,22475.0,2,39,4.5
2024-06-22,아우터,라퍼지스토어,204647.0,3,38,3.0
2024-06-23,바지,커버낫,70073.0,7,42,4.5
2024-06-24,아우터,코드그라피,,7,44,4.5
2024-06-25,바지,디스이즈네버댓,68085.0,4,47,
2024-06-26,상의,쿠어,47462.0,5,37,4.0
2024-06-27,잡화/신발,디스이즈네버댓,72691.0,5,48,4.5
2024-06-28,아우터,쿠어,160827.0,6,47,3.5
2024-06-29,상의,라퍼지스토어,49754.0,9,39,4.5
2024-06-30,아우터,커버낫,,2,40,4.0
2024-07-01,잡화/신발,디스이즈네버댓,119736.0,5,46,3.0
2024-07-02,잡화/신발,코드그라피,112533.0,3,28,4.0
2024-07-03,상의,라퍼지스토어,53397.0,4,44,5.0
2024-07-04,바지,디스이즈네버댓,55097.0,6,41,5.0
2024-07-05,바지,코드그라피,57660.0,8,28,5.0
2024-07-06,상의,디스이즈네버댓,35981.0,1,48,4.5
2024-07-07,상의,쿠어,47517.0,8,44,3.5
2024-07-08,아우터,디스이즈네버댓,81325.0,7,45,4.5
2024-07-09,아우터,디스이즈네버댓,163489.0,1,36,4.5
2024-07-10,잡화/신발,디스이즈네버댓,79785.0,2,41,5.0
2024-07-11,잡화/신발,라퍼지스토어,59087.0,3,38,
2024-07-12,바지,디스이즈네버댓,,1,65,
2024-07-13,상의,코드그라피,34747.0,9,48,4.0
2024-07-14,상의,쿠어,47409.0,8,54,4.0
2024-07-15,바지,쿠어,101189.0,2,49,4.5
2024-07-16,잡화/신발,디스이즈네버댓,57612.0,9,59,4.5
2024-07-17,잡화/신발,라퍼지스토어,82474.0,7,45,4.0
2024-07-18,바지,라퍼지스토어,59703.0,9,54,4.0
2024-07-19,바지,코드그라피,57174.0,6,49,4.5
2024-07-20,아우터,디스이즈네버댓,207369.0,6,39,4.5
2024-07-21,아우터,쿠어,219827.0,4,43,5.0
2024-07-22,잡화/신발,라퍼지스토어,98117.0,2,35,5.0
2024-07-23,바지,디스이즈네버댓,55596.0,7,54,4.5
2024-07-24,아우터,라퍼지스토어,267618.0,5,46,4.0
2024-07-25,아우터,라퍼지스토어,116271.0,6,54,4.5
2024-07-26,바지,쿠어,51575.0,2,41,4.5
2024-07-27,아우터,커버낫,186110.0,5,52,4.0
2024-07-28,아우터,코드그라피,183218.0,4,51,5.0
2024-07-29,상의,코드그라피,49392.0,9,52,3.0
2024-07-30,바지,쿠어,85541.0,6,46,5.0
2024-07-31,바지,라퍼지스토어,63441.0,2,41,4.5
2024-08-01,아우터,디스이즈네버댓,,1,43,
2024-08-02,바지,라퍼지스토어,57271.0,5,43,4.5
2024-08-03,아우터,쿠어,201179.0,9,39,5.0
2024-08-04,상의,코드그라피,42133.0,6,39,4.5
2024-08-05,바지,라퍼지스토어,60852.0,7,47,4.5
2024-08-06,바지,코드그라피,72065.0,5,47,3.5
2024-08-07,바지,디스이즈네버댓,78453.0,6,43,4.5
2024-08-08,바지,코드그라피,36294.0,5,45,
2024-08-09,상의,코드그라피,48247.0,9,43,4.5
2024-08-10,아우터,커버낫,170272.0,6,47,4.5
2024-08-11,상의,커버낫,53528.0,8,47,4.5
2024-08-12,상의,커버낫,42748.0,2,52,3.0
2024-08-13,아우터,코드그라피,226837.0,9,61,3.5
2024-08-14,잡화/신발,쿠어,73500.0,5,38,4.5
2024-08-15,상의,코드그라피,24927.0,7,48,3.5
2024-08-16,잡화/신발,쿠어,102877.0,1,40,3.5
2024-08-17,바지,쿠어,54033.0,5,42,3.0
2024-08-18,바지,커버낫,44456.0,2,45,5.0
2024-08-19,상의,라퍼지스토어,45144.0,6,40,4.5
2024-08-20,상의,디스이즈네버댓,42847.0,1,52,4.0
2024-08-21,상의,커버낫,52407.0,3,41,4.0
2024-08-22,아우터,커버낫,212126.0,5,49,4.0
2024-08-23,바지,라퍼지스토어,66243.0,4,43,4.5
2024-08-24,상의,디스이즈네버댓,37036.0,3,38,4.5
2024-08-25,아우터,코드그라피,190329.0,5,38,4.0
2024-08-26,바지,코드그라피,67147.0,8,49,4.0
2024-08-27,아우터,커버낫,200481.0,4,46,3.5
2024-08-28,잡화/신발,디스이즈네버댓,70128.0,1,63,4.5
2024-08-29,잡화/신발,커버낫,78193.0,7,52,4.5
2024-08-30,잡화/신발,쿠어,93659.0,8,60,4.0
2024-08-31,상의,커버낫,56225.0,3,39,3.0
2024-09-01,아우터,커버낫,214773.0,6,47,3.5
2024-09-02,잡화/신발,코드그라피,86394.0,2,42,5.0
2024-09-03,상의,코드그라피,40613.0,7,51,
2024-09-04,잡화/신발,코드그라피,91864.0,8,52,4.5
2024-09-05,잡화/신발,쿠어,66446.0,6,48,4.5
2024-09-06,잡화/신발,코드그라피,71110.0,6,47,4.0
